mpi_method,num_processes,matrix_size,execution_time,communication_time,status,stderr
bloqueante,20,512,0.225827,0.167901,ok,
bloqueante,20,1024,6.349613,0.601690,ok,
bloqueante,24,16,0.000674,0.000671,ok,
bloqueante,24,32,0.001349,0.001333,ok,
bloqueante,24,64,0.001228,0.001104,ok,
bloqueante,24,128,0.002735,0.002234,ok,
bloqueante,24,256,0.019010,0.013136,ok,
bloqueante,24,512,0.250214,0.121225,ok,
bloqueante,24,1024,5.664211,1.290935,ok,
bloqueante,28,16,0.000777,0.000774,ok,
bloqueante,28,32,0.001857,0.001833,ok,
bloqueante,28,64,0.001935,0.001837,ok,
bloqueante,28,128,0.003762,0.003407,ok,
bloqueante,28,256,0.023345,0.019554,ok,
bloqueante,28,512,0.219146,0.121001,ok,
bloqueante,28,1024,5.750281,1.585287,ok,
bloqueante,32,16,0.000913,0.000910,ok,
bloqueante,32,32,0.001183,0.001171,ok,
bloqueante,32,64,0.001821,0.001717,ok,
bloqueante,32,128,0.004538,0.004193,ok,
bloqueante,32,256,0.023150,0.018840,ok,
bloqueante,32,512,0.202563,0.130201,ok,
bloqueante,32,1024,5.633684,2.102144,ok,
bloqueante,36,16,0.001121,0.001118,ok,
bloqueante,36,32,0.001525,0.001521,ok,
bloqueante,36,64,0.002833,0.002746,ok,
bloqueante,36,128,0.003996,0.003644,ok,
bloqueante,36,256,0.026360,0.023306,ok,
bloqueante,36,512,0.197365,0.153428,ok,
bloqueante,36,1024,5.575387,0.681233,ok,
bloqueante,40,16,0.001517,0.001512,ok,
bloqueante,40,32,0.001345,0.001340,ok,
bloqueante,40,64,0.003688,0.003583,ok,
bloqueante,40,128,0.005514,0.005117,ok,
bloqueante,40,256,0.031026,0.027577,ok,
bloqueante,40,512,0.191371,0.135151,ok,
bloqueante,40,1024,5.501705,2.491304,ok,
nao_bloqueante,2,16,0.000041,0.000033,ok,
nao_bloqueante,2,32,0.000099,0.000041,ok,
nao_bloqueante,2,64,0.000524,0.000053,ok,
nao_bloqueante,2,128,0.003683,0.000110,ok,
nao_bloqueante,2,256,0.031594,0.000396,ok,
nao_bloqueante,2,512,0.305423,0.001600,ok,
nao_bloqueante,2,1024,10.996175,0.006494,ok,
nao_bloqueante,4,16,0.000090,0.000086,ok,
nao_bloqueante,4,32,0.000161,0.000132,ok,
nao_bloqueante,4,64,0.000540,0.000311,ok,
nao_bloqueante,4,128,0.002000,0.000203,ok,
nao_bloqueante,4,256,0.017012,0.001126,ok,
nao_bloqueante,4,512,0.159849,0.002306,ok,
nao_bloqueante,4,1024,7.893400,0.010472,ok,
nao_bloqueante,8,16,0.000330,0.000327,ok,
nao_bloqueante,8,32,0.000239,0.000224,ok,
nao_bloqueante,8,64,0.000567,0.000261,ok,
nao_bloqueante,8,128,0.002191,0.001164,ok,
nao_bloqueante,8,256,0.010620,0.000816,ok,
nao_bloqueante,8,512,0.125581,0.008621,ok,
nao_bloqueante,8,1024,5.987082,0.012286,ok,
nao_bloqueante,12,16,0.000241,0.000238,ok,
nao_bloqueante,12,32,0.000548,0.000537,ok,
nao_bloqueante,12,64,0.000800,0.000633,ok,
nao_bloqueante,12,128,0.001722,0.000582,ok,
nao_bloqueante,12,256,0.012532,0.001998,ok,
nao_bloqueante,12,512,0.141761,0.030681,ok,
nao_bloqueante,12,1024,7.195537,0.214911,ok,
nao_bloqueante,16,16,0.000319,0.000316,ok,
nao_bloqueante,16,32,0.000709,0.000697,ok,
nao_bloqueante,16,64,0.000772,0.000674,ok,
nao_bloqueante,16,128,0.001931,0.000787,ok,
nao_bloqueante,16,256,0.011378,0.002654,ok,
nao_bloqueante,16,512,0.160175,0.014306,ok,
nao_bloqueante,16,1024,7.216115,0.234494,ok,
nao_bloqueante,20,16,0.000403,0.000402,ok,
nao_bloqueante,20,32,0.001233,0.001220,ok,
nao_bloqueante,20,64,0.001790,0.001704,ok,
nao_bloqueante,20,128,0.002817,0.002070,ok,
nao_bloqueante,20,256,0.014183,0.007503,ok,
nao_bloqueante,20,512,0.227931,0.076166,ok,
nao_bloqueante,20,1024,6.253636,3.044572,ok,
nao_bloqueante,24,16,0.000606,0.000604,ok,
nao_bloqueante,24,32,0.001282,0.001262,ok,
nao_bloqueante,24,64,0.001638,0.001539,ok,
nao_bloqueante,24,128,0.003474,0.002517,ok,
nao_bloqueante,24,256,0.017323,0.013498,ok,
nao_bloqueante,24,512,0.219438,0.150384,ok,
nao_bloqueante,24,1024,5.609351,1.242004,ok,
nao_bloqueante,28,16,0.000752,0.000749,ok,
nao_bloqueante,28,32,0.001048,0.001040,ok,
nao_bloqueante,28,64,0.002531,0.002433,ok,
nao_bloqueante,28,128,0.003168,0.002702,ok,
nao_bloqueante,28,256,0.017781,0.012800,ok,
nao_bloqueante,28,512,0.204209,0.074230,ok,
nao_bloqueante,28,1024,5.754692,1.823208,ok,
nao_bloqueante,32,16,0.001089,0.001086,ok,
nao_bloqueante,32,32,0.001377,0.001366,ok,
nao_bloqueante,32,64,0.001631,0.001585,ok,
nao_bloqueante,32,128,0.003625,0.003198,ok,
nao_bloqueante,32,256,0.020008,0.010208,ok,
nao_bloqueante,32,512,0.201435,0.128658,ok,
nao_bloqueante,32,1024,5.482242,1.586126,ok,
nao_bloqueante,36,16,0.001353,0.001349,ok,
nao_bloqueante,36,32,0.001101,0.001097,ok,
nao_bloqueante,36,64,0.004857,0.004767,ok,
nao_bloqueante,36,128,0.005215,0.004794,ok,
nao_bloqueante,36,256,0.027664,0.023469,ok,
nao_bloqueante,36,512,0.220207,0.168417,ok,
nao_bloqueante,36,1024,5.787174,1.441834,ok,
nao_bloqueante,40,16,0.001412,0.001407,ok,
nao_bloqueante,40,32,0.001364,0.001360,ok,
nao_bloqueante,40,64,0.002928,0.002848,ok,
nao_bloqueante,40,128,0.005311,0.004883,ok,
nao_bloqueante,40,256,0.022475,0.019130,ok,
nao_bloqueante,40,512,0.198737,0.032561,ok,
nao_bloqueante,40,1024,5.514167,1.160802,ok,
